"","control","instnm","ccbasic","stabbr","death_yr2_rt","lo_inc_death_yr2_rt","md_inc_death_yr2_rt","hi_inc_death_yr2_rt","death_yr3_rt","lo_inc_death_yr3_rt","md_inc_death_yr3_rt","hi_inc_death_yr3_rt","death_yr4_rt","lo_inc_death_yr4_rt","md_inc_death_yr4_rt","hi_inc_death_yr4_rt","death_yr6_rt","lo_inc_death_yr6_rt","md_inc_death_yr6_rt","hi_inc_death_yr6_rt","death_yr8_rt","lo_inc_death_yr8_rt","md_inc_death_yr8_rt","hi_inc_death_yr8_rt","year"
"59",2,"The New School",16,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"60",1,"Stony Brook University",15,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004072682,NA,NA,NA,"latest"
"61",2,"Wake Forest University",16,"NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"62",1,"University of Cincinnati-Main Campus",15,"OH",NA,NA,NA,NA,0.002819681,NA,NA,NA,0.002413059,NA,NA,NA,0.004489185,0.006661732,NA,NA,0.005151515,0.007089241,NA,NA,"latest"
"63",1,"University of California-Merced",16,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"64",2,"Clarkson University",16,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"65",1,"CUNY City College",16,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"66",2,"Fordham University",16,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"67",2,"Rensselaer Polytechnic Institute",15,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"68",1,"East Carolina University",16,"NC",NA,NA,NA,NA,NA,NA,NA,NA,0.002727273,NA,NA,NA,NA,NA,NA,NA,0.003793267,NA,NA,NA,"latest"
"69",2,"Case Western Reserve University",15,"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"70",1,"North Dakota State University-Main Campus",16,"ND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"71",1,"Wayne State University",15,"MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004305461,NA,NA,NA,"latest"
"72",1,"University of Nebraska-Lincoln",15,"NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"73",1,"University of New Hampshire-Main Campus",15,"NH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"74",1,"Arizona State University-Tempe",15,"AZ",0.000705065625,NA,NA,NA,0.001548947,NA,NA,NA,NA,NA,NA,NA,0.002522629,0.003044413,NA,NA,0.003823774,NA,0.003521127,NA,"latest"
"75",2,"Princeton University",15,"NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"76",1,"Rutgers University-Camden",16,"NJ",NA,NA,NA,NA,NA,NA,NA,NA,0.001706849,NA,NA,NA,0.00154304,NA,NA,NA,0.002831524,NA,0.004300235,NA,"latest"
"77",2,"Seton Hall University",16,"NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"78",2,"Stevens Institute of Technology",16,"NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
